informant;lexeme;vitality;age;sex;place;education
mga1932;зарод/озарод;2;92;f;shentnevo;0
mga1932;тягать (лён);1;92;f;shentnevo;0
mga1932;вёдро (в любом знач. из представленных в ДАРЯ);3;92;f;shentnevo;0
mga1932;играть 'петь';1;92;f;shentnevo;0
mga1932;дуже;1;92;f;shentnevo;0
zns1939;усадьба;1;85;f;makeevo;1
zns1939;прайник;3;85;f;makeevo;1
zns1939;вёдро (в любом знач. из представленных в ДАРЯ);3;85;f;makeevo;1
zns1939;исподки;1;85;f;makeevo;1
zns1939;толока;3;85;f;makeevo;1
zns1939;играть 'петь';3;85;f;makeevo;1
zns1939;ягоды на -ца;1;85;f;makeevo;1
apb1940;рига;1;84;f;makeevo;1
apb1940;орать;4;84;f;makeevo;1
apb1940;бороновать;2;84;f;makeevo;1
apb1940;бабка;2;84;f;makeevo;1
apb1940;одонок;1;84;f;makeevo;1
apb1940;тягать (лён);1;84;f;makeevo;1
apb1940;квашня/квашонка;2;84;f;makeevo;1
apb1940;жбан/жбанок;1;84;f;makeevo;1
apb1940;муравка;1;84;f;makeevo;1
apb1940;кулеш;3;84;f;makeevo;1
apb1940;ягоды на -ца;1;84;f;makeevo;1
lxl1941;жбан/жбанок;1;83;m;makeevo;1
anv1941;усадьба;1;83;m;makeevo;3
anv1941;рига;1;83;m;makeevo;3
anv1941;прайник;1;83;m;makeevo;3
anv1941;косовьё;2;83;m;makeevo;3
anv1941;орать;4;83;m;makeevo;3
anv1941;зарод/озарод;2;83;m;makeevo;3
anv1941;тягать (лён);1;83;m;makeevo;3
anv1941;квашня/квашонка;1;83;m;makeevo;3
anv1941;кадка/кадушка;1;83;m;makeevo;3
anv1941;жбан/жбанок;1;83;m;makeevo;3
anv1941;кулеш;1;83;m;makeevo;3
anv1941;зелень/зелёнка;2;83;m;makeevo;3
anv1941;жнивьё;2;83;m;makeevo;3
anv1941;суяная;1;83;m;makeevo;3
anv1941;сикахи;1;83;m;makeevo;3
anv1941;бась-бась/бася-бася;1;83;m;makeevo;3
anv1941;лядина (в любом знач. из представленных в ДАРЯ);4;83;m;makeevo;3
anv1941;толока;4;83;m;makeevo;3
anv1941;ягоды на -ца;1;83;m;makeevo;3
lnt1950;усадьба;1;74;f;shentnevo;1
lnt1950;мост 'пол';4;74;f;shentnevo;1
lnt1950;рига;4;74;f;shentnevo;1
lnt1950;прайник;1;74;f;shentnevo;1
lnt1950;косовьё;2;74;f;shentnevo;1
lnt1950;палец;2;74;f;shentnevo;1
lnt1950;орать;4;74;f;shentnevo;1
lnt1950;бороновать;2;74;f;shentnevo;1
lnt1950;бабка;2;74;f;shentnevo;1
lnt1950;одонок;1;74;f;shentnevo;1
lnt1950;тягать (лён);1;74;f;shentnevo;1
lnt1950;кадка/кадушка;1;74;f;shentnevo;1
lnt1950;жбан/жбанок;1;74;f;shentnevo;1
lnt1950;кулеш;4;74;f;shentnevo;1
lnt1950;жито 'рожь';4;74;f;shentnevo;1
lnt1950;зелень/зелёнка;2;74;f;shentnevo;1
lnt1950;жнивьё;4;74;f;shentnevo;1
lnt1950;боркан;4;74;f;shentnevo;1
lnt1950;бурак;4;74;f;shentnevo;1
lnt1950;лядина (в любом знач. из представленных в ДАРЯ);3;74;f;shentnevo;1
lnt1950;вёдро (в любом знач. из представленных в ДАРЯ);4;74;f;shentnevo;1
lnt1950;исподки;2;74;f;shentnevo;1
lnt1950;толока;4;74;f;shentnevo;1
lnt1950;играть 'петь';4;74;f;shentnevo;1
lnt1950;люлька;1;74;f;shentnevo;1
lnt1950;дуже;1;74;f;shentnevo;1
gip1953;усадьба;4;71;f;makeevo;2
gip1953;мост 'пол';4;71;f;makeevo;2
gip1953;рига;4;71;f;makeevo;2
gip1953;прайник;1;71;f;makeevo;2
gip1953;палец;4;71;f;makeevo;2
gip1953;орать;2;71;f;makeevo;2
gip1953;бороновать;1;71;f;makeevo;2
gip1953;бабка;2;71;f;makeevo;2
gip1953;тягать (лён);1;71;f;makeevo;2
gip1953;квашня/квашонка;1;71;f;makeevo;2
gip1953;жбан/жбанок;1;71;f;makeevo;2
gip1953;муравка;1;71;f;makeevo;2
gip1953;кулеш;1;71;f;makeevo;2
gip1953;жито 'рожь';4;71;f;makeevo;2
gip1953;зелень/зелёнка;2;71;f;makeevo;2
gip1953;жнивьё;2;71;f;makeevo;2
gip1953;боркан;2;71;f;makeevo;2
gip1953;бурак;3;71;f;makeevo;2
gip1953;суяная;1;71;f;makeevo;2
gip1953;сикахи;1;71;f;makeevo;2
gip1953;бась-бась/бася-бася;1;71;f;makeevo;2
gip1953;лядина (в любом знач. из представленных в ДАРЯ);3;71;f;makeevo;2
gip1953;вёдро (в любом знач. из представленных в ДАРЯ);3;71;f;makeevo;2
gip1953;исподки;2;71;f;makeevo;2
gip1953;толока;4;71;f;makeevo;2
gip1953;люлька;1;71;f;makeevo;2
nam1957;усадьба;1;67;m;shentnevo;3
nam1957;прайник;2;67;m;shentnevo;3
nam1957;косовьё;2;67;m;shentnevo;3
nam1957;палец;2;67;m;shentnevo;3
nam1957;квашня/квашонка;1;67;m;shentnevo;3
nam1957;кадка/кадушка;1;67;m;shentnevo;3
nam1957;жбан/жбанок;1;67;m;shentnevo;3
nam1957;муравка;1;67;m;shentnevo;3
nam1957;кулеш;1;67;m;shentnevo;3
nam1957;сикахи;1;67;m;shentnevo;3
nam1957;бась-бась/бася-бася;1;67;m;shentnevo;3
nam1957;лядина (в любом знач. из представленных в ДАРЯ);2;67;m;shentnevo;3
nam1957;вёдро (в любом знач. из представленных в ДАРЯ);2;67;m;shentnevo;3
nam1957;исподки;2;67;m;shentnevo;3
nam1957;люлька;1;67;m;shentnevo;3
nf1970;усадьба;1;54;f;makeevo;3
nf1970;мост 'пол';4;54;f;makeevo;3
nf1970;рига;4;54;f;makeevo;3
nf1970;прайник;2;54;f;makeevo;3
nf1970;орать;4;54;f;makeevo;3
nf1970;бороновать;1;54;f;makeevo;3
nf1970;тягать (лён);1;54;f;makeevo;3
nf1970;квашня/квашонка;1;54;f;makeevo;3
nf1970;кадка/кадушка;1;54;f;makeevo;3
nf1970;жбан/жбанок;1;54;f;makeevo;3
nf1970;кулеш;4;54;f;makeevo;3
nf1970;жито 'рожь';3;54;f;makeevo;3
nf1970;жнивьё;4;54;f;makeevo;3
nf1970;боркан;4;54;f;makeevo;3
nf1970;бурак;3;54;f;makeevo;3
nf1970;лядина (в любом знач. из представленных в ДАРЯ);4;54;f;makeevo;3
nf1970;вёдро (в любом знач. из представленных в ДАРЯ);4;54;f;makeevo;3
nf1970;толока;4;54;f;makeevo;3
sXX1974;прайник;4;50;m;stepankovo;1
sXX1974;бабка;2;50;m;stepankovo;1
sXX1974;квашня/квашонка;2;50;m;stepankovo;1
sXX1974;жбан/жбанок;2;50;m;stepankovo;1
sXX1974;жито 'рожь';3;50;m;stepankovo;1
sXX1974;зелень/зелёнка;2;50;m;stepankovo;1
sXX1974;жнивьё;2;50;m;stepankovo;1
sXX1974;бурак;3;50;m;stepankovo;1
sXX1974;сикахи;1;50;m;stepankovo;1
sXX1974;вёдро (в любом знач. из представленных в ДАРЯ);4;50;m;stepankovo;1
sXX1974;исподки;2;50;m;stepankovo;1
sXX1974;люлька;1;50;m;stepankovo;1
lxb1977;орать;2;47;f;makeevo;3
lxb1977;бороновать;1;47;f;makeevo;3
lxb1977;одонок;2;47;f;makeevo;3
lxb1977;зарод/озарод;2;47;f;makeevo;3
lxb1977;тягать (лён);1;47;f;makeevo;3
lxb1977;квашня/квашонка;2;47;f;makeevo;3
lxb1977;жбан/жбанок;2;47;f;makeevo;3
lxb1977;кулеш;2;47;f;makeevo;3
lxb1977;зелень/зелёнка;2;47;f;makeevo;3
lxb1977;жнивьё;2;47;f;makeevo;3
lxb1977;боркан;2;47;f;makeevo;3
lxb1977;бурак;3;47;f;makeevo;3
lxb1977;суяная;1;47;f;makeevo;3
lxb1977;лядина (в любом знач. из представленных в ДАРЯ);3;47;f;makeevo;3
lxb1977;вёдро (в любом знач. из представленных в ДАРЯ);3;47;f;makeevo;3
lxb1977;исподки;2;47;f;makeevo;3
lxb1977;люлька;1;47;f;makeevo;3
lxb1977;дуже;3;47;f;makeevo;3
